Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10
31.31495517,35.70328121,51.94078286,45.13015301,25.27689289,23.49776752,10.85730153,71.83475209,63.04579772,87.65054846
47.97876357,26.05917221,31.06184386,18.71173669,45.58266115,25.60643037,40.49676195,89.24451543,63.40470427,71.71011166
42.26382798,31.32616979,28.95516368,25.67553873,33.27844792,18.0760422,12.69317264,86.51035465,43.05733349,73.40848689
27.94964229,28.13864134,40.43461792,11.67255714,39.41601263,25.62985101,32.47458452,82.68382112,37.47757613,86.1112355
35.37119798,35.87300119,45.1022353,5.996908767,71.23559191,26.2180607,21.75444949,97.24573452,47.76413915,78.55986653
53.2114923,31.50423201,51.56091103,16.264405,71.22608069,19.81159992,11.3273523,95.21583273,62.01530754,93.16605596
20.58656605,39.79547676,52.48935462,4.759847883,64.31539755,23.43076323,2.084717398,75.69982888,66.64627399,72.95657853
36.56869897,24.5816116,74.02861477,72.15972342,23.65475159,17.67733455,3.086001375,86.93707518,53.63190528,87.50609917
50.12749007,32.06931541,50.88031158,48.48353193,34.88175551,31.30200374,55.0817833,85.71618471,76.52708979,83.42637981
33.06607678,30.2367094,65.96634033,23.68416338,80.75070758,26.32225311,15.05253885,85.79839867,58.28188831,78.73562436
34.56891079,31.39971786,49.41005998,26.95681657,46.67683057,24.281646,127.9188146,73.41414003,60.24379198,91.75910772
39.24232825,37.97960586,71.73355417,8.322958182,58.5291326,24.34625668,11.30986745,82.18188329,57.67243355,86.80071533
51.93111701,32.92659015,21.94403782,12.99955807,16.28163385,29.52577443,7.19052868,71.45038014,61.60832151,69.95032847
34.88878403,24.26237296,41.0190235,17.82213497,51.26140337,24.62333779,10.79032458,76.92982542,68.45368889,86.4021868
36.44814432,32.66755409,64.74550094,37.21454634,63.24000091,26.32326709,10.50505787,80.29228875,67.98784125,93.74990631
36.5251898,27.92190312,47.42605992,41.89543401,19.1217248,31.07451824,25.35839149,86.59323107,49.21892471,78.69555311
57.64744066,27.63322515,63.9729442,14.47387476,23.06991731,23.61533141,0.320484549,72.09153298,78.28396532,77.5134415
57.49428871,35.22928664,55.77599154,24.63515838,40.78585079,20.6294587,36.02073178,66.84350796,46.85968251,73.30352852
48.03243118,26.98830008,64.18815476,20.29716148,81.11211343,21.7019977,13.46411307,75.92299917,60.95072417,79.86396114
43.08949119,28.10134836,59.19601592,26.40538367,32.41586026,30.71465534,14.15137661,91.48303219,56.70724112,86.86200686
45.89894861,30.16203627,60.10473401,21.54209671,16.51218708,25.36571323,16.40182574,74.43319642,47.41209987,71.823317
51.92585623,34.73092948,72.38683081,33.35502686,71.64949307,22.99067485,14.91015284,75.46765295,59.09855294,66.53642439
32.51332905,32.90794901,64.79711028,37.51011021,74.4473864,28.89457752,17.20254321,71.46743434,51.11023472,76.24250089
49.40663236,28.82792544,64.90710061,3.535493302,52.56868507,28.99182954,10.61254059,65.75078262,60.87488692,66.20275021
29.96895466,28.63911767,50.30628138,23.62163328,77.51330532,23.09740893,15.09848671,80.6150166,64.83703153,85.23218441
34.89798798,24.19935169,41.27224685,29.54061044,27.53238523,21.11225265,12.96520137,74.16306599,77.66315243,75.7331023
